property,count
free=1;genre=Personalization;score_bucket_range=[0-1];,8
free=1;genre=Photography;score_bucket_range=[0-1];,2
free=1;genre=Events;score_bucket_range=[0-1];,2
free=1;genre=Auto & Vehicles;score_bucket_range=[4-5];,25
free=1;genre=Auto & Vehicles;score_bucket_range=[0-1];,950
free=1;genre=Auto & Vehicles;score_bucket_range=[3-4];,13
free=0;genre=Auto & Vehicles;score_bucket_range=[4-5];,3
free=0;genre=Auto & Vehicles;score_bucket_range=[0-1];,43
free=1;genre=Auto & Vehicles;score_bucket_range=[2-3];,2
free=1;genre=Auto & Vehicles;score_bucket_range=[1-2];,2
free=0;genre=Auto & Vehicles;score_bucket_range=[3-4];,2
free=1;genre=Beauty;score_bucket_range=[0-1];,766
free=0;genre=Beauty;score_bucket_range=[0-1];,9
free=1;genre=Beauty;score_bucket_range=[4-5];,12
free=1;genre=Beauty;score_bucket_range=[3-4];,7
free=1;genre=Beauty;score_bucket_range=[2-3];,3
free=1;adSupported=1;containsAds=1;,2553
free=0;adSupported=0;containsAds=0;,123
free=1;adSupported=0;containsAds=0;,1302
free=0;adSupported=1;containsAds=1;,4
free=1;adSupported=1;year_bucket_range=[2014-2015];,9
free=0;adSupported=0;year_bucket_range=[2014-2015];,4
free=1;adSupported=1;year_bucket_range=[2016-2017];,103
free=1;adSupported=0;year_bucket_range=[2016-2017];,34
free=1;adSupported=0;year_bucket_range=[2018-2019];,201
free=0;adSupported=0;year_bucket_range=[2016-2017];,4
free=1;adSupported=1;year_bucket_range=[2018-2019];,641
free=0;adSupported=0;year_bucket_range=[2018-2019];,37
free=1;adSupported=0;year_bucket_range=[2020-2021];,279
free=1;adSupported=1;year_bucket_range=[2020-2021];,573
free=1;adSupported=1;year_bucket_range=[2022-2023];,1226
free=0;adSupported=0;year_bucket_range=[2020-2021];,64
free=0;adSupported=1;year_bucket_range=[2020-2021];,2
free=1;adSupported=0;year_bucket_range=[2022-2023];,782
free=0;adSupported=0;year_bucket_range=[2022-2023];,13
free=1;adSupported=0;year_bucket_range=[2012-2013];,2
